+------------+-------+-------+-------+-------+---------+-------------+-------------+----------+-------+---------+-------+
|     i      |   tp  |   tn  |   fp  |   fn  | fn_rate | sensitivity | specificity | accuracy |  dice | jaccard |  prc  |
+------------+-------+-------+-------+-------+---------+-------------+-------------+----------+-------+---------+-------+
| 000001.png | 0.007 | 0.991 |  0.0  | 0.002 |  0.187  |    0.813    |     1.0     |  0.998   | 0.896 |  0.811  | 0.997 |
| 000002.png | 0.036 | 0.959 |  0.0  | 0.004 |  0.096  |    0.904    |    0.999    |  0.996   | 0.944 |  0.893  | 0.987 |
| 000007.png | 0.026 | 0.941 | 0.014 | 0.019 |  0.419  |    0.581    |    0.985    |  0.967   | 0.614 |  0.443  | 0.651 |
| 000010.png | 0.005 | 0.993 | 0.002 | 0.001 |  0.157  |    0.843    |    0.998    |  0.997   | 0.781 |   0.64  | 0.727 |
| 000011.png | 0.028 | 0.946 | 0.001 | 0.025 |  0.472  |    0.528    |    0.999    |  0.974   | 0.679 |  0.514  | 0.953 |
| 000014.png | 0.076 |  0.86 | 0.013 | 0.051 |  0.401  |    0.599    |    0.986    |  0.936   | 0.706 |  0.545  | 0.859 |
| 000018.png | 0.186 | 0.761 | 0.005 | 0.049 |  0.207  |    0.793    |    0.994    |  0.947   | 0.875 |  0.778  | 0.976 |
| 000019.png | 0.002 | 0.997 |  0.0  | 0.001 |  0.262  |    0.738    |     1.0     |  0.999   | 0.843 |  0.729  | 0.984 |
| 000022.png |  0.05 | 0.895 | 0.001 | 0.053 |  0.515  |    0.485    |    0.999    |  0.946   |  0.65 |  0.482  | 0.984 |
| 000023.png | 0.014 | 0.982 | 0.002 | 0.001 |  0.085  |    0.915    |    0.998    |  0.996   | 0.884 |  0.791  | 0.855 |
| 000025.png | 0.031 | 0.945 | 0.014 |  0.01 |  0.247  |    0.753    |    0.985    |  0.976   | 0.715 |  0.556  | 0.681 |
| 000030.png | 0.004 | 0.928 |  0.0  | 0.068 |   0.95  |     0.05    |     1.0     |  0.932   | 0.096 |   0.05  |  1.0  |
| 000031.png | 0.017 | 0.948 |  0.0  | 0.035 |  0.668  |    0.332    |     1.0     |  0.965   | 0.496 |   0.33  | 0.984 |
| 000032.png | 0.021 | 0.976 | 0.001 | 0.002 |  0.097  |    0.903    |    0.999    |  0.997   | 0.925 |   0.86  | 0.947 |
|   -----    | ----- | ----- | ----- | ----- |  -----  |    -----    |    -----    |  -----   | ----- |  -----  | ----- |
|    avg     | 0.036 | 0.937 | 0.004 | 0.023 |   0.34  |     0.66    |    0.996    |  0.973   | 0.722 |  0.602  | 0.899 |
|    std     | 0.048 | 0.064 | 0.006 | 0.024 |   0.25  |     0.25    |    0.006    |  0.025   | 0.224 |  0.234  | 0.125 |
+------------+-------+-------+-------+-------+---------+-------------+-------------+----------+-------+---------+-------+
