+--------------+--------------------+
|  Threshold   |      Accuracy      |
+--------------+--------------------+
|     0.7      |       0.965        |
|     0.71     |       0.964        |
|     0.72     |       0.966        |
|     0.73     |       0.973        |
|     0.74     |       0.973        |
|     0.75     |       0.972        |
|     0.76     |       0.971        |
|     0.78     |        0.97        |
|     0.79     |       0.968        |
|     0.8      |       0.951        |
|     0.81     |       0.949        |
|     0.82     |       0.949        |
|     0.83     |       0.949        |
|     0.84     |       0.949        |
|     0.85     |       0.952        |
|     0.86     |       0.954        |
|     0.88     |       0.959        |
|     0.89     |       0.955        |
|     0.9      |       0.957        |
| ------------ |    -----------     |
|     0.73     | 0.9732952887146645 |
+--------------+--------------------+
